"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Ini", "Vue", "SCSS", "JSON5", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Applications\talex-touch\app\core\electron\polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 4, 8, 66
"e:\Workspace\Applications\talex-touch\app\core\electron\preload.ts", "TypeScript", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 7, 23, 150
"e:\Workspace\Applications\talex-touch\app\core\electron\service\protocol-handler.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 16, 6, 36
"e:\Workspace\Applications\talex-touch\app\core\electron\service\service-center.ts", "TypeScript", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 9, 51, 204
"e:\Workspace\Applications\talex-touch\app\core\electron\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 5
"e:\Workspace\Applications\talex-touch\app\core\electron\types\touch-core.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 82, 20, 167
"e:\Workspace\Applications\talex-touch\app\core\electron\utils\common-util.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 47, 9, 87
"e:\Workspace\Applications\talex-touch\app\core\electron\utils\plugin-injection.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 19, 67
"e:\Workspace\Applications\talex-touch\app\core\electron\utils\screen-util.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Workspace\Applications\talex-touch\app\core\generator-information.ts", "TypeScript", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 18, 103
"e:\Workspace\Applications\talex-touch\app\core\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 5, 32
"e:\Workspace\Applications\talex-touch\app\core\package.json", "JSON", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"e:\Workspace\Applications\talex-touch\app\core\public\Documents\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"e:\Workspace\Applications\talex-touch\app\core\public\Music\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"e:\Workspace\Applications\talex-touch\app\core\public\electron-vite.animate.svg", "HTML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"e:\Workspace\Applications\talex-touch\app\core\public\electron-vite.svg", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"e:\Workspace\Applications\talex-touch\app\core\public\vite.svg", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Applications\talex-touch\app\core\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 2, 16, 74
"e:\Workspace\Applications\talex-touch\app\core\src\assets\docs\license.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 24
"e:\Workspace\Applications\talex-touch\app\core\src\assets\docs\protocol.md", "Markdown", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 136, 348
"e:\Workspace\Applications\talex-touch\app\core\src\assets\logo.svg", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\compress-loading.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\empty.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\hello.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\lotties.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"e:\Workspace\Applications\talex-touch\app\core\src\assets\lotties\welcome.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Applications\talex-touch\app\core\src\auto-imports.d.ts", "TypeScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 6, 1, 65
